CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Income,Closed_Account
721038408,38,F,2,High School,Married,Blue,27,4,1,2,1830,0,1830,736,1741,43,654,0,169.77966777049005,0
711968358,55,F,4,Graduate,Single,Blue,44,1,2,1,2638,1423,1215,551,4153,77,925,539,87.02969695441425,0
719174433,36,F,1,Unknown,Single,Blue,24,2,1,2,1735,0,1735,74,2467,35,346,0,140.2794818393886,1
712841883,50,M,3,College,Single,Silver,36,3,3,2,34516,2517,31999,735,7155,66,65,73,90.16357845626771,1
715980258,36,F,1,Doctorate,Single,Blue,25,1,2,3,2835,2511,324,731,4811,77,925,886,101.55167812481524,0
708394908,44,M,0,High School,Single,Blue,33,5,1,3,2337,1442,895,659,3945,65,548,617,46.926825870759785,0
769152783,60,F,2,High School,Single,Blue,54,1,6,2,8141,1811,6330,1043,5043,53,432,222,190.61791095882657,1
779236083,37,F,3,High School,Married,Blue,19,5,1,3,4138,0,4138,1168,2420,50,613,0,76.6227604355663,0
709935708,55,F,1,Unknown,Married,Blue,43,2,1,2,3391,1696,1695,537,4291,77,711,5,49.420518768019974,0
813573333,60,M,1,High School,Married,Blue,55,5,1,4,2661,1466,1195,631,1354,25,316,551,163.73844272457063,0
711289533,39,M,4,Post-Graduate,Single,Blue,32,5,3,2,26710,1681,25029,741,14043,117,746,63,112.31735351495443,0
711438033,57,F,1,Graduate,Married,Blue,45,1,3,2,1894,0,1894,731,5750,73,872,0,98.57341102324426,0
719776608,50,M,2,Graduate,Married,Blue,37,3,1,3,3126,0,3126,824,1388,41,464,0,105.7747707143426,0
717513933,38,M,3,College,Single,Blue,26,2,2,1,14938,0,14938,626,7385,90,429,0,127.30908673256636,0
714023808,42,F,2,Graduate,Married,Blue,33,6,1,1,13770,2517,11253,788,1582,36,385,183,177.78903213329613,0
809464608,47,F,3,High School,Married,Silver,31,3,3,2,34516,2517,31999,618,2691,42,5,73,166.5921297390014,1
827953683,41,M,2,Graduate,Married,Blue,37,1,2,1,3786,1171,2615,697,5369,75,596,309,60.074351844377816,0
718757808,56,F,1,Uneducated,Unknown,Blue,46,4,3,3,2929,1287,1642,497,3875,67,595,439,42.59119268041104,0
715984908,52,M,2,Graduate,Married,Blue,36,4,3,2,2866,1882,984,803,4850,84,826,657,105.00895558856428,0
715452408,37,F,2,Graduate,Divorced,Blue,36,4,3,3,1734,987,747,879,4727,67,914,569,1.8979065120220184,0
718291233,46,M,4,Graduate,Married,Blue,33,5,1,3,16227,917,15310,479,4314,67,634,57,96.71730800531805,0
713058858,54,F,2,Graduate,Unknown,Blue,46,5,3,2,1695,913,782,449,2130,48,5,539,11.598844593390822,1
712038258,48,M,4,Unknown,Single,Blue,36,3,3,3,32838,1717,31121,995,2538,42,4,52,100.05577218718828,1
710535708,49,M,2,Uneducated,Married,Blue,39,2,3,1,15894,1293,14601,693,14256,118,735,81,91.65948056615888,0
787284858,35,M,2,Uneducated,Unknown,Blue,29,5,1,2,3300,1731,1569,689,1745,27,929,525,184.20701758936048,0
716425833,38,M,2,Graduate,Single,Blue,36,5,2,1,34516,1229,33287,427,1797,35,296,36,130.2511938288808,1
709974108,35,F,1,Graduate,Single,Blue,23,4,3,3,2640,1051,1589,833,3116,80,6,398,12.756974017247558,0
710325258,52,M,1,Unknown,Married,Silver,36,6,1,0,34516,1847,32669,527,3284,65,477,54,84.61286005564034,0
711006783,38,F,1,Graduate,Single,Blue,22,3,3,3,2484,2149,335,669,1200,28,647,865,186.85969933867457,0
719153433,49,F,4,Uneducated,Married,Blue,38,4,2,1,2542,850,1692,723,4972,79,717,334,38.88324946165085,0
719960133,42,M,3,College,Single,Silver,26,3,2,2,34516,904,33612,726,3910,68,659,26,102.74995393119752,0
718477983,54,F,3,High School,Married,Blue,42,4,2,3,14383,1108,3303,782,4776,90,765,77,30.744320480152965,0
720197058,47,F,3,Graduate,Unknown,Blue,33,1,3,4,3443,0,3443,832,2505,45,452,0,7.698326464742422,1
780605508,53,M,1,Unknown,Married,Blue,41,5,1,3,2885,1433,1452,1017,1170,23,769,497,44.022211949341,0
716183283,27,F,1,College,Divorced,Blue,15,5,3,2,2166,890,1276,1024,3563,70,892,411,89.86413711681962,0
708754833,48,F,3,Uneducated,Single,Blue,40,3,4,4,2827,1182,1645,902,4583,72,1,418,87.49288422986865,0
773306658,54,M,1,Unknown,Single,Blue,48,4,5,4,4752,1230,3522,883,15678,103,717,259,66.54266957659274,0
718426533,42,M,4,Uneducated,Divorced,Blue,32,4,1,2,5504,0,5504,62,1364,32,684,0,62.17209705617279,0
715394883,35,F,2,High School,Married,Blue,36,3,2,4,4319,1151,3168,594,1852,47,424,266,189.59525534883144,0
718205283,48,F,3,College,Single,Blue,37,6,3,1,14383,0,14383,777,5035,76,767,0,55.82662331406027,0
796029483,49,F,3,Graduate,Married,Blue,43,2,3,2,2174,785,1389,657,3890,78,66,361,19.218968600034714,0
828285858,41,F,3,College,Married,Blue,37,3,1,2,14383,765,6733,644,4053,66,692,532,194.01061893440783,0
